#1
double field_opt_eff_4ms(10,1)
0.0
0;0.024569445;0.0236441985;0.0229878019;0.0231008626;0.0231067726;0.0234518206;0.0230651729;0.0227113243;0.0227448098;0.0236489825;0.0245047575;0.0247996959
10;0.4581915305;0.4481139494;0.4367941485;0.4250837649;0.4169707519;0.4122717629;0.4140253869;0.4201082746;0.4321412581;0.4460136937;0.4563987975;0.4606842408
20;0.5999843151;0.5913841574;0.5780012147;0.5636584905;0.5555395254;0.5500126075;0.5531034752;0.5603014836;0.5736716775;0.5879411073;0.5977640917;0.6039262471
30;0.6510318742;0.6435223069;0.6324899239;0.6203129635;0.6121923318;0.6099685136;0.6121564028;0.6163088888;0.6290302637;0.6414973531;0.6523210322;0.6549453446
40;0.6770097535;0.6682590082;0.6590954723;0.649197839;0.6409903533;0.6394163459;0.6407083623;0.6454569788;0.6553283655;0.6657767881;0.6744652025;0.677173147
50;0.6912594763;0.6839368097;0.6773917414;0.6682853214;0.6620189894;0.6631529631;0.6615526147;0.6660170505;0.674507053;0.6833016008;0.6883841996;0.6916275791
60;0.7014137745;0.6970548828;0.6919521356;0.6832400082;0.6809887084;0.6791399157;0.6790527823;0.6829177476;0.6895787785;0.6982818028;0.7003516122;0.7005847627
70;0.707882976;0.7046243714;0.6990397252;0.6954272922;0.6939788318;0.6889613407;0.6927104214;0.6955077807;0.6984575646;0.7023325166;0.7033580302;0.7046213473
80;0.7080186358;0.7061669999;0.7055559958;0.7049776493;0.7028447573;0.7017843562;0.7001968315;0.7042710989;0.7054238232;0.7050384555;0.7098377782;0.7072792318
90;0.7083207808;0.7097170212;0.7078725583;0.7085451233;0.7078206128;0.7075164245;0.7063819102;0.7091256171;0.7080437517;0.7083174983;0.706479213;0.7073595524
